"Species";"Location";"Sample";"Heterozygosity_min";"Heterozygosity";"Heterozygosity_max";"Genome_Length_min";"Genome_Length";"Genome_Length_max";"Genome_Repeat_min";"Genome_Repeat";"Genome_Repeat_max";"Genome_Unique_min";"Genome_Unique";"Genome_Unique_max";"Model_Fit_min";"Model_Fit";"Model_Fit_max";"Read_error_rate_min";"Read_error_rate";"Read_error_rate_max";"color";"loc_plot"
"Lbude";"Mu";"LbudeMu6";0.181361;0.1816625;0.181964;739448560;739477890;739507220;94716601;94720357.5;94724114;644731959;644757532.5;644783106;98.6038;99.18945;99.7751;0.193479;0.193479;0.193479;"#F4A582";"2.Mu"
"Lbude";"Mu";"LbudeMu5";0.185339;0.1856715;0.186004;744383520;744416836.5;744450153;99671307;99675768;99680229;644712213;644741068.5;644769924;98.6061;99.207;99.8079;0.195071;0.195071;0.195071;"#F4A582";"2.Mu"
"Lbude";"Fa";"LbudeFa2";0.222866;0.223154;0.223442;736614314;736642892.5;736671471;91674860;91678417;91681974;644939454;644964475.5;644989497;98.7072;99.2591;99.811;0.202508;0.202508;0.202508;"#92C5DE";"3.Fa"
"Dpunt";"Mu";"DpuntMu5";1.19406;1.194815;1.19557;793067267;793179088.5;793290910;150091165;150112327.5;150133490;642976102;643066761;643157420;98.215;99.03185;99.8487;0.265971;0.265971;0.265971;"#F4A582";"2.Mu"
"Msurm";"Fa";"MsurmFa4";1.06407;1.06442;1.06477;509642352;509673679;509705006;65329522;65333537.5;65337553;444312830;444340141.5;444367453;98.7539;99.2517;99.7495;0.295907;0.295907;0.295907;"#92C5DE";"3.Fa"
"Scant";"Fa";"ScantFa1";0.496506;0.497272;0.498038;774149135;774228337;774307539;145903561;145918488;145933415;628245574;628309848.5;628374123;98.1992;99.01985;99.8405;0.160518;0.160518;0.160518;"#92C5DE";"3.Fa"
"Peryt";"Fa";"PerytFa4";1.09795;1.09845;1.09895;727547329;727617660;727687991;114460613;114471678;114482743;613086716;613145982.5;613205249;98.3711;99.01925;99.6674;0.199526;0.199526;0.199526;"#92C5DE";"3.Fa"
"Cgale";"Mu";"CgaleMu2";0.607085;0.6081035;0.609122;722108015;722183078.5;722258142;135435214;135449292.5;135463371;586672802;586733786.5;586794771;98.463;99.13795;99.8129;0.243803;0.243803;0.243803;"#F4A582";"2.Mu"
"Lbude";"Fa";"LbudeFa1";0.218278;0.21855;0.218822;733055285;733082913;733110541;88027142;88030459.5;88033777;645028143;645052453.5;645076764;98.7098;99.262;99.8142;0.189384;0.189384;0.189384;"#92C5DE";"3.Fa"
"Lmorm";"Mu";"LmormMu6";0.560724;0.5610945;0.561465;712518598;712562505;712606412;90778633;90784227;90789821;621739965;621778278;621816591;98.5304;99.0394;99.5484;0.236542;0.236542;0.236542;"#F4A582";"2.Mu"
"Scant";"Fa";"ScantFa4";0.49097;0.4916935;0.492417;772394071;772467488;772540905;143944301;143957983;143971665;628449770;628509505;628569240;98.0996;98.9374;99.7752;0.170553;0.170553;0.170553;"#92C5DE";"3.Fa"
"Lbude";"Fa";"LbudeFa4";0.222805;0.2230695;0.223334;736606620;736634725;736662830;91306702;91310185.5;91313669;645299918;645324539.5;645349161;98.6891;99.24845;99.8078;0.184595;0.184595;0.184595;"#92C5DE";"3.Fa"
"Dpunt";"Ga";"DpuntGa3";0.49854;0.4992835;0.500027;788254604;788331962;788409320;142010097;142024033.5;142037970;646244507;646307928;646371349;98.2649;99.0331;99.8013;0.271534;0.271534;0.271534;"#0571B0";"4.Ga"
"Msurm";"Ga";"MsurmGa5";1.17024;1.170785;1.17133;508352864;508408057.5;508463251;69354779;69362309;69369839;438998084;439045748;439093412;98.7934;99.24035;99.6873;0.293137;0.293137;0.293137;"#0571B0";"4.Ga"
"Scant";"Ga";"ScantGa2";0.511406;0.512692;0.513978;780614234;780720731.5;780827229;153817498;153838483;153859468;626796736;626882248.5;626967761;98.1942;99.0412;99.8882;0.203093;0.203093;0.203093;"#0571B0";"4.Ga"
"Scant";"Fa";"ScantFa2";0.495659;0.4963715;0.497084;772588141;772664360.5;772740580;144416641;144430888.5;144445136;628171500;628233472;628295444;98.2054;99.0302;99.855;0.161002;0.161002;0.161002;"#92C5DE";"3.Fa"
"Cgale";"Ga";"CgaleGa5";0.588154;0.589025;0.589896;704913518;704977026.5;705040535;119379498;119390253.5;119401009;585534020;585586773;585639526;98.4208;99.09295;99.7651;0.320076;0.320076;0.320076;"#0571B0";"4.Ga"
"Msurm";"Ga";"MsurmGa3";1.1642;1.16502;1.16584;515304338;515383745;515463152;78085126;78097159;78109192;437219212;437286586;437353960;98.7466;99.15965;99.5727;0.288415;0.288415;0.288415;"#0571B0";"4.Ga"
"Peryt";"Fa";"PerytFa3";1.07457;1.075005;1.07544;729432413;729490915.5;729549418;113253316;113262399.5;113271483;616179097;616228516;616277935;98.2982;98.9717;99.6452;0.213216;0.213216;0.213216;"#92C5DE";"3.Fa"
"Lbude";"Mu";"LbudeMu4";0.238462;0.2387565;0.239051;736181693;736210856.5;736240020;89341578;89345117.5;89348657;646840115;646865739;646891363;98.6801;99.246;99.8119;0.211961;0.211961;0.211961;"#F4A582";"2.Mu"
"Lbude";"Li";"LbudeLi3";0.223301;0.2235925;0.223884;736009996;736039201.5;736068407;90762131;90765732.5;90769334;645247866;645273469.5;645299073;98.7361;99.28585;99.8356;0.173589;0.173589;0.173589;"#CA0020";"1.Li"
"Lbude";"Ga";"LbudeGa1";0.238471;0.238798;0.239125;735729935;735761594.5;735793254;92403108;92407084.5;92411061;643326826;643354509.5;643382193;98.6347;99.1876;99.7405;0.231831;0.231831;0.231831;"#0571B0";"4.Ga"
